metric,winner_median,loser_median,winner_mean,loser_mean,comparison_value,comparison_type,effect_size,winner_n,loser_n,abs_effect
returnOnAssets,0.005580953511844683,-0.0014774636671105036,-0.006688167025315578,-0.09778443169575014,0.007058417178955187,difference,0.10407758713052456,5119,3434,0.10407758713052456
capitalExpenditureCoverageRatio,-3.7494268231578625,-2.2278053772490285,-5147.927490786718,6466.753102492778,0.594172251473017,ratio,-0.0739331099456701,5119,3434,0.0739331099456701
dReturnOnAssets,-0.0001463507539788706,-0.003264248226806389,0.008216666290821342,-0.057350922528785445,0.0031178974728275186,difference,0.06301293092632267,5119,3434,0.06301293092632267
mEquityToAssets,0.39297061480645995,0.4843493936309403,0.3690608815554473,0.41735863066796725,-0.09137877882448037,difference,-0.056914539513078746,5118,3432,0.056914539513078746
dNetIncomePerShare,0.0008423494093160325,-0.01271306944274362,-11.295538983837298,1123.1228843068693,0.013555418852059652,ratio,-0.05349425220054397,5119,3434,0.05349425220054397
dEPS,0.0008423494093160325,-0.01271306944274362,-11.295538983837298,1123.1228843068693,0.013555418852059652,ratio,-0.05349425220054397,5119,3434,0.05349425220054397
mPbRatio,1.4978194594594594,1.8910788821384354,4.560834174246673,320.6316016456918,0.7920449398523886,ratio,-0.051529360890027846,5119,3434,0.051529360890027846
grahamNetNet,-11.083605887162715,-1.7100256071415059,-1099.6647023334147,-299041.7924294457,0.15428423065115446,ratio,0.048642877735162474,5119,3434,0.048642877735162474
dPbRatio,0.030494792697641104,0.012926100593579973,-3.8067991098312666,266.5541873456124,2.3591641173508275,ratio,-0.045482048122437425,5119,3434,0.045482048122437425
dSharesOutstanding,0.0,3000.0,-2200849.3993332037,40538937.22189571,-3000.0,ratio,-0.04038125570753018,5119,3434,0.04038125570753018
CFO,43060000.0,2348500.0,14194841808.020555,413373150.25753045,18.335107515435386,ratio,0.03733885026224913,5119,3434,0.03733885026224913
dSalesToInventory,0.022347461938867497,0.0,-62765499622.5075,431104436250.95557,0.022347461938867497,difference,-0.035830540288905956,2759,1986,0.035830540288905956
returnOnEquity,-0.004989956958393112,-0.029553395202836702,-0.03072018509316427,-0.4385861347052369,0.02456343824444359,difference,0.03508836887721411,5119,3434,0.03508836887721411
mPfcfRatio,15.63139110738255,-1.538390309798271,-137.23013896481476,-2394.3719315699345,17.169781417180822,ratio,0.03413298164970792,5119,3434,0.03413298164970792
uNetDebtToEBITDA,3.9403574774670087,2.4564091842159765,468.2096782610097,-29.392490033079834,1.604112825658837,ratio,0.02991209032921223,5119,3434,0.02991209032921223
