metric,coefficient,abs_coef
earnYield,-0.6370308835494362,0.6370308835494362
grahamNumberToPrice,0.5935619613888016,0.5935619613888016
CycleHeat,-0.44320767578895226,0.44320767578895226
marketCapRevQuants,-0.3962802309677885,0.3962802309677885
Altman-Z,0.3880194183652916,0.3880194183652916
bVpRatio,0.3459654076531498,0.3459654076531498
returnOnEquity,0.26134652890978016,0.26134652890978016
returnOnCapitalEmployed,0.24619640610584403,0.24619640610584403
RoA,-0.23970424827504205,0.23970424827504205
moatScore,0.2088175648008571,0.2088175648008571
BoScore,0.1583251690137072,0.1583251690137072
DcfToPrice,-0.15558088574351894,0.15558088574351894
grossProfitMargin,-0.1546171340149391,0.1546171340149391
incomeQuality,-0.12955183569239315,0.12955183569239315
Piotroski,0.12635770435284704,0.12635770435284704
EPStoEPSmean,0.11972681833471058,0.11972681833471058
revenueGrowth,0.11882282991293869,0.11882282991293869
priceGrowth,-0.11382309013851645,0.11382309013851645
freeCashFlowYield,0.08796209729834163,0.08796209729834163
currentRatio,-0.029590703623321682,0.029590703623321682
freeCashFlowPerShareGrowth,-0.027654161409416313,0.027654161409416313
tbVpRatio,-0.00863678682587651,0.00863678682587651
