metric,coefficient,abs_coef
grahamNumberToPrice,0.9137522622338012,0.9137522622338012
returnOnCapitalEmployed,0.5944705019217362,0.5944705019217362
earnYield,-0.5750228916857956,0.5750228916857956
marketCapRevQuants,-0.5286306339471196,0.5286306339471196
RoA,-0.4693377839941872,0.4693377839941872
bVpRatio,-0.4468597621917159,0.4468597621917159
BoScore,0.3930910569353752,0.3930910569353752
tbVpRatio,0.37885530504637815,0.37885530504637815
EPStoEPSmean,-0.3258780094228545,0.3258780094228545
freeCashFlowPerShareGrowth,0.30731351136804064,0.30731351136804064
revenueGrowth,-0.30565694927816717,0.30565694927816717
DcfToPrice,-0.30423410455961697,0.30423410455961697
moatScore,0.30049983886668596,0.30049983886668596
priceGrowth,0.2739175286903559,0.2739175286903559
Piotroski,0.1906810190352403,0.1906810190352403
grossProfitMargin,-0.1902265522675374,0.1902265522675374
Altman-Z,-0.16019605504697873,0.16019605504697873
returnOnEquity,-0.11256593769885531,0.11256593769885531
CycleHeat,-0.08447401098527453,0.08447401098527453
incomeQuality,-0.054329881371528194,0.054329881371528194
freeCashFlowYield,0.011728069420840787,0.011728069420840787
currentRatio,-0.001690351924698388,0.001690351924698388
