run_id,source,date,price,marketCap,removal_reason
stock_CUR3K@844b3eaf1ea2,058820.KQ,2020-04-01,3975.0,112053878625.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2020-07-01,4435.0,126199339765.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2020-10-01,5780.0,165048177440.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2021-01-01,4385.0,125244466470.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2021-04-01,5270.0,150094390430.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2021-07-01,4055.0,115456802555.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2021-10-01,3835.0,109410061085.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2022-01-01,3485.0,98685971720.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2022-04-01,2500.0,70254592500.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,058820.KQ,2022-07-01,2245.0,62753501690.0,"vendor_contamination [058820.KQ 2020-03-31..2022-09-30: another issuer's statements served under this ticker (Chipotle Mexican Grill / CMG), labelled KRW]"
stock_CUR3K@844b3eaf1ea2,BMA,2020-04-01,1994.0,127498952200.0,"currency_excluded [ARS: reports in ARS -- IAS 29 hyperinflation regime, no admitted ARS->USD rate, and this vendor is demonstrably wrong on ARS in this panel | CURRENCY-SCOPED RULE (CEO 2026-08-08): every ARS reporter is removed, whether or not its own series looks damaged. Grounds, measured on the 2026-08-07 CUR3K panel: (1) VENDOR DEFECT, on BMA -- totalAssets 2.325e16 between 2.056e13 and 2.420e13 (961x break) and revenue 1.201e9 between 1.443e12 and 1.907e12 (1,588x break), with marketCap continuous through both, so no market-cap sanity check can see it; BMA's nominal revenue also rises 45.6x over the window. (2) NO USD VALUATION IS POSSIBLE -- ARS is refused by fx_rates.ABSTAIN_CURRENCIES and absent from carveOut.FX_TO_USD, so an ARS name has no marketCap_usd, sits in no band, and scores NEUTRAL on the size tilt while competing for the same slots. (3) NO PER-NAME CLEARANCE EXISTS -- separating a correctly IAS 29-restated series from a mishandled one needs a restatement-vintage audit this codebase does not perform. EXPLICITLY NOT CLAIMED OF EVERY ARS NAME: CRESY shows NO defect (worst adjacent ratio 5.0x vs BMA's 1,588x; 7.5x nominal rise vs BMA's 45.6x, i.e. BELOW Argentine inflation, which is what correct restatement looks like). CRESY is removed by this rule alone. Panel effect: 2 sources, 48 rows.] [ARS on 24/24 rows]"
