source_a,source_b,n_shared,name_a,name_b,shared_tokens,name_match,verdict,first_shared_date,last_shared_date
ALTA.PA,AREIT.PA,30,Altarea SCA,Altareit SCA,,False,NAME_MISMATCH,2009-04-01,2023-10-01
058820.KQ,CMG,11,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2012-10-01,2022-07-01
058820.KQ,0HXW.L,10,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2012-10-01,2022-07-01
CRML,SZZL,8,Critical Metals Corp.,Sizzle Acquisition Corp. II,,False,NAME_MISMATCH,2021-10-01,2023-07-01
CIGI,FSV,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI,FSV.TO,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI.TO,FSV,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI.TO,FSV.TO,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
AC.PA,EDEN.PA,4,Accor S.A.,Edenred S.A.,,False,NAME_MISMATCH,2007-04-01,2009-10-01
0RJ6.L,LOUP.PA,27,L.d.c. S.a.,L.d.c. S.a.,,,name_unknown,2010-01-01,2026-01-01
AFG,AFGB,80,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2006-07-01,2026-04-01
AFGC,AFGD,80,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2006-07-01,2026-04-01
AFGC,AFGE,80,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2006-07-01,2026-04-01
AFGD,AFGE,80,"American Financial Group, Inc.","American Financial Group, Inc.",american financial,True,name_match,2006-07-01,2026-04-01
HVT,HVT-A,80,"Haverty Furniture Companies, Inc.","Haverty Furniture Companies, Inc.",furniture haverty,True,name_match,2006-07-01,2026-04-01
TCBI,TCBIO,80,"Texas Capital Bancshares, Inc.","Texas Capital Bancshares, Inc.",bancshares capital texas,True,name_match,2006-07-01,2026-04-01
TECK-A.TO,TECK-B.TO,80,Teck Resources Limited,Teck Resources Limited,resources teck,True,name_match,2006-07-01,2026-04-01
0A18.L,GIB-A.TO,80,CGI Inc.,CGI Inc.,cgi,True,name_match,2006-07-01,2026-04-01
TTE.L,TTE.PA,80,TotalEnergies SE,TotalEnergies SE,totalenergies,True,name_match,2006-07-01,2026-04-01
RCI-A.TO,RCI-B.TO,80,Rogers Communications Inc.,Rogers Communications Inc.,communications rogers,True,name_match,2006-07-01,2026-04-01
MOG-A,MOG-B,80,Moog Inc.,Moog Inc.,moog,True,name_match,2006-07-01,2026-04-01
BH,BH-A,80,Biglari Holdings Inc.,Biglari Holdings Inc.,biglari,True,name_match,2006-07-01,2026-04-01
PPL,PPLC,80,PPL Corporation,PPL Corporation,ppl,True,name_match,2006-07-01,2026-04-01
0JZU.L,MCK,80,McKesson Corporation,McKesson Corporation,mckesson,True,name_match,2006-07-01,2026-04-01
HBAN,HBANL,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
HBAN,HBANM,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
HBANL,HBANM,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
CTC-A.TO,CTC.TO,80,"Canadian Tire Corporation, Limited","Canadian Tire Corporation, Limited",canadian tire,True,name_match,2006-07-01,2026-07-01
