pool,source,check,reason,points,penalty,section
,,forensic_gap:beneish_components,"EXEMPT: 235 name(s) had an absent Beneish assessment that was NOT charged because `forensicFlags._classify_financial` rules the model inapplicable to them (banks, insurers, REITs). For those names the honest statement is ""the manipulation model does not apply"", not ""the assessment is absent"". Pickle-sector basis: the API sector fallback is fetched after Stage-2 and can only ADD financials, so this exemption is never wider than the tag the shortlist ships.",0.0,0.0,NOT_MEASURED
,000270.KS,1 check(s),"uInterestCoverage: 1 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 7 row(s) that compute.",1.0,-0.01,per_source
,001260.KS,2 check(s),"no usable vendor data for: gross margin (GMI), SG&A intensity (SGAI) | the Beneish M-score could not be formed for this name, so the manipulation assessment is ABSENT -- not clean: no usable vendor data for: gross margin (GMI), SG&A intensity (SGAI)",3.0,-0.03,per_source
,001500.KS,1 check(s),"uInterestCoverage: 1 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 7 row(s) that compute.",1.0,-0.01,per_source
,001720.KS,1 check(s),"uInterestCoverage: 1 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 7 row(s) that compute.",1.0,-0.01,per_source
,003080.KS,2 check(s),"no usable vendor data for: gross margin (GMI) | the Beneish M-score could not be formed for this name, so the manipulation assessment is ABSENT -- not clean: no usable vendor data for: gross margin (GMI)",2.0,-0.02,per_source
,003090.KS,2 check(s),"no usable vendor data for: gross margin (GMI), SG&A intensity (SGAI) | the Beneish M-score could not be formed for this name, so the manipulation assessment is ABSENT -- not clean: no usable vendor data for: gross margin (GMI), SG&A intensity (SGAI)",3.0,-0.03,per_source
,003230.KS,1 check(s),"uInterestCoverage: 1 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 7 row(s) that compute.",1.0,-0.01,per_source
,003550.KS,2 check(s),"no usable vendor data for: gross margin (GMI) | the Beneish M-score could not be formed for this name, so the manipulation assessment is ABSENT -- not clean: no usable vendor data for: gross margin (GMI)",2.0,-0.02,per_source
,004140.KS,1 check(s),"uInterestCoverage: 2 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 6 row(s) that compute.",2.0,-0.02,per_source
,005500.KS,2 check(s),"no usable vendor data for: SG&A intensity (SGAI) | the Beneish M-score could not be formed for this name, so the manipulation assessment is ABSENT -- not clean: no usable vendor data for: SG&A intensity (SGAI)",2.0,-0.02,per_source
,005930.KS,1 check(s),"uInterestCoverage: 1 of 8 available rows are not computable AND report a positive `totalDebt` on the SAME row, so the refusal cannot mean the flag is inapplicable to this company -- it is missing data. Flag was JUDGED on the 7 row(s) that compute.",1.0,-0.01,per_source
