dropped,survivor,name,orig_sector,propagated_sector,issuer_group,non_canonical_tag,dropped_price,dropped_shares,dropped_marketCap,decided_by,dropped_vol_t,survivor_vol_t,dropped_isin_t,survivor_isin_t,dropped_volAvg,dropped_volAvg_asof,survivor_volAvg,survivor_volAvg_asof
000660.KS,SKHY,SK hynix Inc.,Technology,Technology,000660.KS|SKHY,,2650000.0,713481000.0,1890724650000000.0,shares,0,0,0,0,5814523.0,2026-08-21,41125006.0,2026-08-21
0J3H.L,HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Financial Services,0J3H.L|HFF.DE|HIG,lse-iob,134.9444,273300000.0,36880316000.0,canonicity,1,0,0,0,1560.0,2026-08-21,1709288.0,2026-08-21
HFF.DE,HIG,"Hartford Insurance Group, Inc.",Financial Services,Financial Services,0J3H.L|HFF.DE|HIG,,154.1146,239304414.0,36880316000.0,shares,1,0,0,0,34.0,2026-08-21,1709288.0,2026-08-21
KIN2.DE,KGC,Kinross Gold Corporation,Basic Materials,Basic Materials,K.TO|KGC|KIN2.DE,,23.62,1191629000.0,28146276980.0,punctuation,1,0,0,0,3414.0,2026-08-21,8401264.0,2026-08-21
K.TO,KGC,Kinross Gold Corporation,Basic Materials,Basic Materials,K.TO|KGC|KIN2.DE,,23.62,1191629000.0,28146276980.0,punctuation,0,0,0,0,3485969.0,2026-08-21,8401264.0,2026-08-21
SBI.TO,SRB.L,Serabi Gold plc,Basic Materials,Basic Materials,SBI.TO|SRB.L,,3.7009,75735000.0,280285540.92,symbol_length,0,0,0,0,33682.0,2026-08-21,274335.0,2026-08-21
AEM.TO,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,,155.13,501659000.0,77822360670.0,punctuation,0,0,0,0,1119609.0,2026-08-21,2934991.0,2026-08-21
0R2J.L,AEM,Agnico Eagle Mines Limited,Basic Materials,Basic Materials,0R2J.L|AEM|AEM.TO,lse-iob,155.13,501659000.0,77822360670.0,canonicity,1,0,0,0,8013.0,2026-08-21,2934991.0,2026-08-21
0VOA.L,WDO.TO,Wesdome Gold Mines Ltd.,Basic Materials,Basic Materials,0VOA.L|WDO.TO,lse-iob,24.35,147584000.0,3593670400.0,canonicity,1,0,0,0,2121.0,2026-08-21,656555.0,2026-08-21
ABR0.DE,B,Barrick Mining Corporation,Basic Materials,Basic Materials,ABR0.DE|ABX.TO|B,,36.7136,1666000000.0,61164857600.0,punctuation,1,0,0,0,38291.0,2026-08-21,10971356.0,2026-08-21
ABX.TO,B,Barrick Gold Corporation,Basic Materials,Basic Materials,ABR0.DE|ABX.TO|B,,36.7136,1666000000.0,61164857600.0,punctuation,0,0,0,0,4736626.0,2026-08-21,10971356.0,2026-08-21
SU.TO,SU,Suncor Energy Inc.,Energy,Energy,SU|SU.TO,,76.3,1179000000.0,89957700000.0,punctuation,0,0,0,0,5763512.0,2026-08-21,4580919.0,2026-08-21
0LJL.L,UHS,"Universal Health Services, Inc.",Healthcare,Healthcare,0LJL.L|UHS,lse-iob,148.6526,59657000.0,8868168980.0,canonicity,1,0,0,0,793.0,2026-08-21,1019538.0,2026-08-21
NMM.DE,NEM,Newmont Corporation,Basic Materials,Basic Materials,0R28.L|NEM|NMM.DE,,93.4,1065000000.0,99471000000.0,punctuation,1,0,0,0,8361.0,2026-08-21,8126945.0,2026-08-21
0R28.L,NEM,Newmont Corporation,Basic Materials,Basic Materials,0R28.L|NEM|NMM.DE,lse-iob,93.2249,1067000000.0,99471000000.0,canonicity,1,0,0,0,21521.0,2026-08-21,8126945.0,2026-08-21
0QYM.L,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,lse-iob,8.45,301010000.0,2543534500.0,canonicity,1,0,0,0,38704.0,2026-08-21,5285791.0,2026-08-21
FVI.TO,FSM,Fortuna Mining Corp.,Basic Materials,Basic Materials,0QYM.L|FSM|FVI.TO,,8.45,301010000.0,2543534500.0,punctuation,0,0,0,0,725260.0,2026-08-21,5285791.0,2026-08-21
PAAS,PAAS.TO,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,,44.79,420271000.0,18823938090.0,shares,0,0,0,0,4459188.0,2026-08-21,928112.0,2026-08-21
0R07.L,PAAS.TO,Pan American Silver Corp.,Basic Materials,Basic Materials,0R07.L|PAAS|PAAS.TO,lse-iob,44.7821,420345000.0,18823938090.0,canonicity,1,0,0,0,20151.0,2026-08-21,928112.0,2026-08-21
HAFNIO.OL,HAFN,Hafnia Limited,Industrials,Industrials,HAFN|HAFNI.OL|HAFNIO.OL,symbol-extension,74.58,498567216.0,37183142969.28,canonicity,0,0,0,0,543226.0,2026-08-21,1620927.0,2026-08-21
HAFNI.OL,HAFN,Hafnia Limited,Industrials,Industrials,HAFN|HAFNI.OL|HAFNIO.OL,,7.6,498567216.0,3789110841.6,punctuation,0,0,0,0,476140.0,2026-08-21,1620927.0,2026-08-21
TFPM.TO,TFPM,Triple Flag Precious Metals Corp.,Basic Materials,Basic Materials,TFPM|TFPM.TO,,29.97,206295928.0,6182688962.16,punctuation,0,0,0,0,209085.0,2026-08-21,638383.0,2026-08-21
005935.KS,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L|SMSN.L,korea-preferred,334000.0,6682013000.0,2231792342000000.0,canonicity,0,0,-1,-1,4627473.0,2026-08-21,30329611.0,2026-08-21
SMSD.L,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L|SMSN.L,,13868955.6426,160920000.0,2231792342000000.0,shares,1,0,-1,-1,4933.0,2026-08-21,30329611.0,2026-08-21
SMSN.L,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L|SMSN.L,,13868955.6426,160920000.0,2231792342000000.0,shares,1,0,-2,-1,28219.0,2026-08-21,30329611.0,2026-08-21
BC94.L,005930.KS,"Samsung Electronics Co., Ltd.",Technology,Technology,005930.KS|005935.KS|BC94.L|SMSD.L|SMSN.L,,13868955.6426,160920000.0,2231792342000000.0,shares,1,0,-2,-1,14786.0,2026-08-21,30329611.0,2026-08-21
0JSU.L,SIP.BR,Sipef N.V.,Consumer Defensive,Consumer Defensive,0JSU.L|SIP.BR,lse-iob,95.3767,10410000.0,992871530.28,canonicity,1,0,0,0,71.0,2026-08-21,4340.0,2026-08-21
001065.KS,001060.KS,JW Pharmaceutical Corporation,Healthcare,Healthcare,001060.KS|001065.KS|001067.KS,korea-preferred,25700.0,23628000.0,607239600000.0,canonicity,1,0,0,0,315.0,2026-08-21,58297.0,2026-08-21
001067.KS,001060.KS,JW Pharmaceutical Corporation,Healthcare,Healthcare,001060.KS|001065.KS|001067.KS,korea-preferred,25700.0,23628000.0,607239600000.0,canonicity,1,0,0,0,78.0,2026-08-21,58297.0,2026-08-21
2PP.DE,PYPL,"PayPal Holdings, Inc.",Financial Services,Financial Services,2PP.DE|PYPL,,44.0662,877000000.0,38646100000.0,shares,1,0,0,0,31382.0,2026-08-21,16008841.0,2026-08-21
PA9.DE,TRV,"Travelers Companies, Inc.",Financial Services,Financial Services,0R03.L|PA9.DE|TRV,,377.0168,184316060.0,69490260000.0,shares,1,0,0,0,10.0,2026-08-21,1961409.0,2026-08-21
0R03.L,TRV,"The Travelers Companies, Inc.",Financial Services,Financial Services,0R03.L|PA9.DE|TRV,lse-iob,330.12,210500000.0,69490260000.0,canonicity,1,0,0,0,6010.0,2026-08-21,1961409.0,2026-08-21
0HQU.L,CF,"CF Industries Holdings, Inc.",Basic Materials,Basic Materials,0HQU.L|CF,lse-iob,108.26,153600000.0,16628736000.0,canonicity,1,0,0,0,2460.0,2026-08-21,2571311.0,2026-08-21
0VCO.L,PEY.TO,Peyto Exploration & Development Corp.,Energy,Energy,0VCO.L|PEY.TO,lse-iob,23.66,205212848.0,4855335983.68,canonicity,1,0,0,0,1305.0,2026-08-21,661780.0,2026-08-21
HEN3.DE,HEN.DE,Henkel AG & Co. KGaA,Consumer Defensive,Consumer Defensive,HEN.DE|HEN3.DE,symbol-extension,73.54,405379367.0,29811598649.18,canonicity,0,0,0,0,419520.0,2026-08-21,107648.0,2026-08-21
0RJ6.L,LOUP.PA,L.d.c. S.a.,Consumer Defensive,Consumer Defensive,0RJ6.L|LOUP.PA,lse-iob,100.6,35271000.0,3548262600.0,canonicity,1,0,0,0,59.0,2026-08-21,5272.0,2026-08-21
0VL5.L,TXG.TO,Torex Gold Resources Inc.,Basic Materials,Basic Materials,0VL5.L|TXG.TO,lse-iob,39.7408,93363973.0,3710358978.1984,canonicity,1,0,0,0,472.0,2026-08-21,574333.0,2026-08-21
