source_a,source_b,n_shared,name_a,name_b,shared_tokens,name_match,verdict,first_shared_date,last_shared_date
ALTA.PA,AREIT.PA,30,Altarea SCA,Altareit SCA,,False,NAME_MISMATCH,2009-04-01,2023-10-01
058820.KQ,CMG,11,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2012-10-01,2022-07-01
058820.KQ,0HXW.L,10,"CMG Pharmaceutical Co., Ltd.","Chipotle Mexican Grill, Inc.",,False,NAME_MISMATCH,2012-10-01,2022-07-01
CRML,SZZL,8,Critical Metals Corp.,Sizzle Acquisition Corp. II,,False,NAME_MISMATCH,2021-10-01,2023-07-01
CIGI,FSV,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI,FSV.TO,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI.TO,FSV,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
CIGI.TO,FSV.TO,5,Colliers International Group Inc.,FirstService Corporation,,False,NAME_MISMATCH,2013-07-01,2015-01-01
AC.PA,EDEN.PA,4,Accor S.A.,Edenred S.A.,,False,NAME_MISMATCH,2007-04-01,2009-10-01
0RRC.L,2HRA.DE,42,H&R GmbH & Co. KGaA,H&R GmbH & Co. KGaA,,,name_unknown,2013-01-01,2026-01-01
0RJ6.L,LOUP.PA,27,L.d.c. S.a.,L.d.c. S.a.,,,name_unknown,2010-01-01,2026-01-01
GOOG,GOOGL,80,Alphabet Inc.,Alphabet Inc.,alphabet,True,name_match,2006-07-01,2026-04-01
ABEA.DE,ABEC.DE,80,Alphabet Inc.,Alphabet Inc.,alphabet,True,name_match,2006-07-01,2026-04-01
PHI1.DE,PHIA.AS,80,Koninklijke Philips N.V.,Koninklijke Philips N.V.,koninklijke philips,True,name_match,2006-07-01,2026-04-01
ERIC-A.ST,ERIC-B.ST,80,Telefonaktiebolaget LM Ericsson (publ),Telefonaktiebolaget LM Ericsson (publ),ericsson lm publ telefonaktiebolaget,True,name_match,2006-07-01,2026-04-01
HBAN,HBANL,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
HBAN,HBANM,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
HBANL,HBANM,80,Huntington Bancshares Incorporated,Huntington Bancshares Incorporated,bancshares huntington,True,name_match,2006-07-01,2026-04-01
0JZU.L,MCK,80,McKesson Corporation,McKesson Corporation,mckesson,True,name_match,2006-07-01,2026-04-01
BP-A.L,BP-B.L,80,BP p.l.c.,BP p.l.c.,bp,True,name_match,2006-07-01,2026-04-01
BP-A.L,BP.L,80,BP p.l.c.,BP p.l.c.,bp,True,name_match,2006-07-01,2026-04-01
BP-B.L,BP.L,80,BP p.l.c.,BP p.l.c.,bp,True,name_match,2006-07-01,2026-04-01
RCI-A.TO,RCI-B.TO,80,Rogers Communications Inc.,Rogers Communications Inc.,communications rogers,True,name_match,2006-07-01,2026-04-01
TECK-A.TO,TECK-B.TO,80,Teck Resources Limited,Teck Resources Limited,resources teck,True,name_match,2006-07-01,2026-04-01
ARRD.DE,MT.AS,80,ArcelorMittal S.A.,ArcelorMittal S.A.,arcelormittal,True,name_match,2006-07-01,2026-04-01
TAP,TAP-A,80,Molson Coors Beverage Company,Molson Coors Beverage Company,beverage coors molson,True,name_match,2006-07-01,2026-04-01
0JPO.L,KLAC,80,KLA Corporation,KLA Corporation,kla,True,name_match,2006-07-01,2026-04-01
TTE.L,TTE.PA,80,TotalEnergies SE,TotalEnergies SE,totalenergies,True,name_match,2006-07-01,2026-04-01
