pool,source,n_flags,flags,status,note
BalanceSheetFin,ALK.L,1,returnOnAssets,EJECTED,
BalanceSheetFin,BLNE,1,returnOnAssets,EJECTED,
BalanceSheetFin,MBI,1,returnOnAssets,EJECTED,
BalanceSheetFin,OSG,1,returnOnAssets,EJECTED,
BalanceSheetFin,QLIRO.ST,1,returnOnAssets,EJECTED,
BalanceSheetFin,SDLF.L,1,returnOnAssets,EJECTED,
FinManager,041190.KQ,1,CFOlessEarnings,EJECTED,
FinManager,DB1.DE,1,CFOlessEarnings,EJECTED,
FinManager,GIMB.BR,1,CFOlessEarnings,EJECTED,
FinManager,GS,1,uInterestCoverage,EJECTED,
FinManager,HILB-B.ST,2,"returnOnAssets, uInterestCoverage",EJECTED,
FinManager,KVIKA.IC,1,uInterestCoverage,EJECTED,
FinManager,LATO-B.ST,1,CFOlessEarnings,EJECTED,
FinManager,MANG.ST,1,uInterestCoverage,EJECTED,
FinManager,MS,1,uInterestCoverage,EJECTED,
FinManager,PBEE.L,1,uInterestCoverage,EJECTED,
FinManager,VALUE.AS,1,CFOlessEarnings,EJECTED,
FinManager,VG80.DE,1,CFOlessEarnings,EJECTED,
FinManager,X.TO,1,uInterestCoverage,EJECTED,
InvestmentVehicle,,,,NO_EJECTIONS,"pool 'InvestmentVehicle' is not in VETO_POOLS ['general', 'REIT', 'Mining', 'FinManager', 'BalanceSheetFin']: n = 15 and nothing in it fails the statutory asset-coverage test, so there is no ejection to make. The obvious candidate flag is also structurally undefined here -- under ASC 946 portfolio purchases are an OPERATING cash flow, so `CFO > 0` ejects 5 of 15 (3 of them in the top-25) for DEPLOYING CAPITAL. This cohort is NOT vetoed and is NOT thereby certified clean."
Mining,ABRA.TO,1,cashRunwayOneYear,EJECTED,
Mining,ALAFY.PA,1,producerEbitdaPositive,EJECTED,
Mining,ALCRB.PA,1,producerEbitdaPositive,EJECTED,
Mining,ALMIB.PA,1,cashRunwayOneYear,EJECTED,
Mining,ALOY,1,producerEbitdaPositive,EJECTED,
Mining,ASTL,1,producerEbitdaPositive,EJECTED,
